Rodada 500
1 155 29
39 48 27
109 155 26
19 38 26
155 185 25
1 5 25
39 116 25
71 155 25
23 51 25
9 51 25
Rodada 1000
19 145 42
4 49 41
40 189 41
32 45 41
23 51 41
19 85 40
1 155 40
57 127 40
62 95 40
103 180 40
Rodada 1500
106 163 59
40 189 56
91 108 56
19 85 56
19 133 56
12 122 56
19 122 56
126 171 55
23 136 55
23 51 54
Rodada 2000
114 117 76
179 181 73
114 135 70
23 140 70
47 49 70
63 108 70
106 163 70
19 85 70
38 69 70
107 179 69
Rodada 2500
63 108 88
114 117 87
23 107 84
179 181 83
114 135 83
91 108 82
38 69 82
23 140 82
4 12 82
97 151 82
Rodada 3000
114 117 105
63 108 98
27 89 98
30 40 96
177 198 96
131 170 96
19 38 95
19 131 95
27 91 95
23 140 95
Rodada 3500
114 117 119
63 108 114
23 32 111
23 107 110
19 23 110
75 177 110
32 67 110
42 106 110
131 170 110
50 114 109
Rodada 4000
19 23 132
114 117 129
50 114 126
63 108 126
12 83 126
114 135 126
19 38 123
23 114 123
27 89 123
23 32 122
Rodada 4500
114 117 143
60 175 141
19 23 141
24 130 140
12 83 139
85 157 137
50 114 137
157 166 136
114 135 136
10 17 135
Rodada 5000
60 175 155
114 117 151
12 137 149
19 23 149
24 130 148
114 135 148
107 144 147
157 198 147
131 170 146
10 17 146
